ID,Item Name,GL Code,Catalog,Category,Menus,Stock,Cost,Price
207771,Jones Lemon Lime Soda,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,8,1.49,2.99
207772,Jones Berry Lemonade Soda,Sale of Goods,Food & Beverage,Beverage: Other Drinks,,16,1.49,2.99
207775,The Better Bar Chocolate,Sale of Goods,Food & Beverage,Food: Snacks,,21,2.53,4.99
207776,The Better Bar,Sale of Goods,Food & Beverage,Food: Snacks,,18,2.53,4.99
207779,Maple Hot Chocolate,Sale of Goods,Food & Beverage,Food: Snacks,,0,8.54,8.99
207780,Pimienta Gorda Hot Choc.,Sale of Goods,Food & Beverage,Food: Snacks,,1,8.54,14.99
207781,Premium Hot Chocolate,Sale of Goods,Food & Beverage,Food: Snacks,,5,8.54,14.99
207800,Pocket Chocolate Viet Coffee Almond,Sale of Goods,Food & Beverage,Food: Snacks,,7,3.59,7.99
207801,Pocket Latte Hazelnut Chocolate,Sale of Goods,Food & Beverage,Food: Snacks,,1,1.29,2.99
207802,Pocket Chocolate Mango Yuzu Almonds,Sale of Goods,Food & Beverage,Food: Snacks,,0,1.49,3.49
207803,Pocket Chocolate Matcha Almonds,Sale of Goods,Food & Beverage,Food: Snacks,,0,1.49,3.49
207804,Portland Mustard,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,0,3.98,7.99
207805,Portland BBQ Sauce,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,-1,4.99,5
207806,Portland Ketchup,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,9,3.81,7.99
207807,Oregon Growers Blackberry Honey,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,1,8.74,14.99
207808,Oregon Growers Marionberry Syrup,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,6,6.54,14.99
207844,Oregon Growers Blueberry Fruit Spre,Sale of Goods,Food & Beverage,Food: Breakfast Meals & Ingredients,,0,5.54,7.99
207845,Oregon Growers Peach Fruit Spread,Sale of Goods,Food & Beverage,Food: Breakfast Meals & Ingredients,,1,5.45,7.99
207847,Japanese Barbecue Sauce Hot and Spi,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,0,6.94,13.99
207848,Japanese Barbecue Sauce Gluten-Free,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,2,6.94,13.99
207850,Japanese Barbecue Sauce Yuzu,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,7,6.94,13.99
207851,Japanese Barbecue Sauce the Origina,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,1,6.94,13.99
207853,Japanese Barbecue Sauce Miso,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,8,6.94,13
207854,Hudson Valley Marshmallows CO Choc.,Sale of Goods,Food & Beverage,Food: Snacks,,8,4.11,7.99
207855,Hudson Valley Marshmallows Co. Salt,Sale of Goods,Food & Beverage,Food: Snacks,,10,4.11,7.99
207856,Hudson Valley Marshmallow Co. Van.,Sale of Goods,Food & Beverage,Food: Snacks,,20,4.11,7.99
207857,Hudson Valley Marshmallow CO.  Fren,Sale of Goods,Food & Beverage,Food: Snacks,,16,4.11,7.99
207858,Hudson Valley Marshmallow CO.  Stra,Sale of Goods,Food & Beverage,Food: Snacks,,17,4.11,7.99
207859,HV Choc Chip Graham,Sale of Goods,Food & Beverage,Food: Snacks,,36,5.76,9.99
207860,HV Choc Graham,Sale of Goods,Food & Beverage,Food: Snacks,,12,5.61,9.99
207861,HV Cinnamon Graham Crackers,Sale of Goods,Food & Beverage,Food: Snacks,,23,5.61,9.99
207863,Raaka Green Tea Crunch,Sale of Goods,Food & Beverage,Food: Snacks,,0,4.35,7.99
207864,Raaka Bananas Foster,Sale of Goods,Food & Beverage,Food: Snacks,,2,3.95,7.99
207865,Raaka Maple & Nibs,Sale of Goods,Food & Beverage,Food: Snacks,,0,4.35,7.99
207866,Raaka Bourbon Cask Aged,Sale of Goods,Food & Beverage,Food: Snacks,,0,4.35,7.99
207884,Pastabilities Pasta+Cheese (Space),Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.63,4.99
207885,Pastabilities Pasta + Cheese (Dinos,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,4,4.63,9.49
207886,Pastabilities Pasta + Cheese (Sea C,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.63,9.49
207887,Pastabilities In the Woods Pasta,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,7,4.63,9.49
207888,Pastabilities Let's go Crabbin' Pas,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,0,4.63,9.49
207901,Jacobsen Salt Co. Black Pepper Salt,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,30,3.65,5.99
207902,Jacobsen Salt Co. Lemon Zest Salt,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,50,3.65,5.99
207903,Jacobsen Salt Co. Pure Sea Salt,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,15,3.65,5.99
207904,Jacobsen Salt Co. Furikake,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,4,6.55,12.99
207905,Jacobsen Co. Seafood,Sale of Goods,Food & Beverage,Food: Other Condiments & Ingredients,,3,4.75,9.99
207912,Chico Rice Brown,Sale of Goods,Food & Beverage,Food: Lunch / Dinner Meals & Ingredients,,5,5.82,8.99
